Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:46:17Z, GPS, Latitude, NULL
2016-11-19T19:46:17Z, GPS, Longitude, NULL
2016-11-19T19:46:17Z, GPS, Altitude, NULL
2016-11-19T19:46:17Z, GPS, Horizontal Accuracy, NULL
2016-11-19T19:46:17Z, Attitude, Roll, -0.00198185149392425
2016-11-19T19:46:17Z, Attitude, Yaw, -0.0964675357271878
2016-11-19T19:46:17Z, Attitude, Pitch, 0.0024913346598221
2016-11-19T19:46:17Z, Acceleration (via User), x, 0.000105012994026765
2016-11-19T19:46:17Z, Acceleration (via User), y, -0.000743531214538962
2016-11-19T19:46:17Z, Acceleration (via User), z, 0.00528973247855902
2016-11-19T19:46:17Z, Magnetometer (corrected for device), x, -14.4465827941895
2016-11-19T19:46:17Z, Magnetometer (corrected for device), y, 4.42250823974609
2016-11-19T19:46:17Z, Magnetometer (corrected for device), z, -46.8092651367188
2016-11-19T19:46:17Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:46:17Z, GPS, Latitude, NULL
2016-11-19T19:46:17Z, GPS, Longitude, NULL
2016-11-19T19:46:17Z, GPS, Altitude, NULL
2016-11-19T19:46:17Z, GPS, Horizontal Accuracy, NULL
2016-11-19T19:46:17Z, GPS, Latitude, 42.3388342558915
2016-11-19T19:46:17Z, GPS, Longitude, -71.0882392356189
2016-11-19T19:46:17Z, GPS, Altitude, 10.2415933609009
2016-11-19T19:46:17Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:46:26Z, Attitude, Roll, -0.0373539547799401
2016-11-19T19:46:26Z, Attitude, Yaw, 0.281353849516957
2016-11-19T19:46:26Z, Attitude, Pitch, 0.00088307332649357
2016-11-19T19:46:26Z, Acceleration (via User), x, 0.000357949349563569
2016-11-19T19:46:26Z, Acceleration (via User), y, 2.85810237983242e-05
2016-11-19T19:46:26Z, Acceleration (via User), z, 0.0030251769348979
2016-11-19T19:46:26Z, Magnetometer (corrected for device), x, -10.8472633361816
2016-11-19T19:46:26Z, Magnetometer (corrected for device), y, 4.59171295166016
2016-11-19T19:46:26Z, Magnetometer (corrected for device), z, -49.2111206054688
2016-11-19T19:46:26Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:46:35Z, Attitude, Roll, -0.0374427997856045
2016-11-19T19:46:35Z, Attitude, Yaw, 0.281012578282408
2016-11-19T19:46:35Z, Attitude, Pitch, 0.000816949376674085
2016-11-19T19:46:35Z, Acceleration (via User), x, 5.00057976751123e-05
2016-11-19T19:46:35Z, Acceleration (via User), y, 0.00118316023144871
2016-11-19T19:46:35Z, Acceleration (via User), z, 0.00372381554916501
