Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:18:38Z, GPS, Latitude, 42.3387008799725
2016-11-28T17:18:38Z, GPS, Longitude, -71.0880848250041
2016-11-28T17:18:38Z, GPS, Altitude, 9.50032234191895
2016-11-28T17:18:38Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:38Z, Acceleration (via User), x, 0.00902470201253891
2016-11-28T17:18:38Z, Acceleration (via User), y, 0.000584487454034388
2016-11-28T17:18:38Z, Acceleration (via User), z, -0.00554769253358245
2016-11-28T17:18:38Z, Attitude, Roll, 0.016752630688326
2016-11-28T17:18:38Z, Attitude, Yaw, -0.285646810660385
2016-11-28T17:18:38Z, Attitude, Pitch, 0.99632959434472
2016-11-28T17:18:38Z, Magnetometer (corrected for device), x, -0.0845108032226562
2016-11-28T17:18:38Z, Magnetometer (corrected for device), y, -4.91079330444336
2016-11-28T17:18:38Z, Magnetometer (corrected for device), z, -15.9963684082031
2016-11-28T17:18:38Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:18:38Z, GPS, Latitude, 42.3387008799725
2016-11-28T17:18:38Z, GPS, Longitude, -71.0880848250041
2016-11-28T17:18:38Z, GPS, Altitude, 9.50032234191895
2016-11-28T17:18:38Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:43Z, GPS, Latitude, 42.3387697915856
2016-11-28T17:18:43Z, GPS, Longitude, -71.0882139603831
2016-11-28T17:18:43Z, GPS, Altitude, 9.78487205505371
2016-11-28T17:18:43Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:47Z, Acceleration (via User), x, 0.12602025270462
2016-11-28T17:18:47Z, Acceleration (via User), y, -0.711316645145416
2016-11-28T17:18:47Z, Acceleration (via User), z, 0.255289137363434
2016-11-28T17:18:47Z, Attitude, Roll, -0.283894500631383
2016-11-28T17:18:47Z, Attitude, Yaw, -0.792277481283124
2016-11-28T17:18:47Z, Attitude, Pitch, -1.08142178932561
2016-11-28T17:18:47Z, Magnetometer (corrected for device), x, -18.5547561645508
2016-11-28T17:18:47Z, Magnetometer (corrected for device), y, 37.6511726379395
2016-11-28T17:18:47Z, Magnetometer (corrected for device), z, 25.343994140625
2016-11-28T17:18:47Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:18:49Z, GPS, Latitude, 42.3386585921912
2016-11-28T17:18:49Z, GPS, Longitude, -71.0881081645916
2016-11-28T17:18:49Z, GPS, Altitude, 9.43610191345215
2016-11-28T17:18:49Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:55Z, GPS, Latitude, 42.3387055045583
2016-11-28T17:18:55Z, GPS, Longitude, -71.0881728741348
2016-11-28T17:18:55Z, GPS, Altitude, 9.83097457885742
2016-11-28T17:18:55Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:55Z, GPS, Latitude, 42.338717880563
2016-11-28T17:18:55Z, GPS, Longitude, -71.0881881345706
2016-11-28T17:18:55Z, GPS, Altitude, 9.88569355010986
2016-11-28T17:18:55Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:18:56Z, Acceleration (via User), x, -0.000872016826178879
2016-11-28T17:18:56Z, Acceleration (via User), y, 0.00051770219579339
2016-11-28T17:18:56Z, Acceleration (via User), z, 0.00401157001033425
2016-11-28T17:18:56Z, Attitude, Roll, 0.112779523895257
2016-11-28T17:18:56Z, Attitude, Yaw, -1.17555492097054
2016-11-28T17:18:56Z, Attitude, Pitch, 0.00920008293870853
2016-11-28T17:18:56Z, Magnetometer (corrected for device), x, -27.2201919555664
2016-11-28T17:18:56Z, Magnetometer (corrected for device), y, -27.2407035827637
2016-11-28T17:18:56Z, Magnetometer (corrected for device), z, -27.5287170410156
2016-11-28T17:18:56Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:01Z, GPS, Latitude, 42.3386907522627
2016-11-28T17:19:01Z, GPS, Longitude, -71.0881828363478
2016-11-28T17:19:01Z, GPS, Altitude, 9.83250617980957
2016-11-28T17:19:01Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:19:05Z, Acceleration (via User), x, -0.00139191630296409
2016-11-28T17:19:05Z, Acceleration (via User), y, -0.000255646067671478
2016-11-28T17:19:05Z, Acceleration (via User), z, 0.000313071592245251
2016-11-28T17:19:05Z, Attitude, Roll, 0.112274046031135
2016-11-28T17:19:05Z, Attitude, Yaw, -1.17296663501098
2016-11-28T17:19:05Z, Attitude, Pitch, 0.00937278705630552
2016-11-28T17:19:05Z, Magnetometer (corrected for device), x, -27.4457778930664
2016-11-28T17:19:05Z, Magnetometer (corrected for device), y, -27.0917930603027
2016-11-28T17:19:05Z, Magnetometer (corrected for device), z, -27.6018981933594
2016-11-28T17:19:05Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:07Z, GPS, Latitude, 42.3387151066324
2016-11-28T17:19:07Z, GPS, Longitude, -71.0881936562959
2016-11-28T17:19:07Z, GPS, Altitude, 9.86140918731689
2016-11-28T17:19:07Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:19:14Z, Acceleration (via User), x, -0.000522652990184724
2016-11-28T17:19:14Z, Acceleration (via User), y, -0.00106699438765645
2016-11-28T17:19:14Z, Acceleration (via User), z, 0.00229643657803535
2016-11-28T17:19:14Z, Attitude, Roll, 0.112427904979763
2016-11-28T17:19:14Z, Attitude, Yaw, -1.17183479640376
2016-11-28T17:19:14Z, Attitude, Pitch, 0.00918704110637041
2016-11-28T17:19:14Z, Magnetometer (corrected for device), x, -27.8945693969727
2016-11-28T17:19:14Z, Magnetometer (corrected for device), y, -27.3938102722168
2016-11-28T17:19:14Z, Magnetometer (corrected for device), z, -28.0546569824219
2016-11-28T17:19:14Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:15Z, GPS, Latitude, 42.3387164085037
2016-11-28T17:19:15Z, GPS, Longitude, -71.0881953716031
2016-11-28T17:19:15Z, GPS, Altitude, 9.86915683746338
2016-11-28T17:19:15Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:19:16Z, GPS, Latitude, 42.3387124354061
2016-11-28T17:19:16Z, GPS, Longitude, -71.0881897096312
2016-11-28T17:19:16Z, GPS, Altitude, 9.3552188873291
2016-11-28T17:19:16Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:17Z, GPS, Latitude, 42.3386899816094
2016-11-28T17:19:17Z, GPS, Longitude, -71.0881577112324
2016-11-28T17:19:17Z, GPS, Altitude, 8.94456577301025
2016-11-28T17:19:17Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:18Z, GPS, Latitude, 42.3386744366729
2016-11-28T17:19:18Z, GPS, Longitude, -71.0881355584945
2016-11-28T17:19:18Z, GPS, Altitude, 8.60890579223633
2016-11-28T17:19:18Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:19Z, GPS, Latitude, 42.3386636747937
2016-11-28T17:19:19Z, GPS, Longitude, -71.0881202219835
2016-11-28T17:19:19Z, GPS, Altitude, 8.32941150665283
2016-11-28T17:19:19Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:20Z, GPS, Latitude, 42.3386562242619
2016-11-28T17:19:20Z, GPS, Longitude, -71.0881096043988
2016-11-28T17:19:20Z, GPS, Altitude, 8.0930700302124
2016-11-28T17:19:20Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:21Z, GPS, Latitude, 42.3386510662014
