Timestamp, Data Source, Data, Display Value, Raw Value
"2016-11-15T15:38:08Z", GPS, Enabled, Yes, true
"2016-11-15T15:38:08Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2016-11-15T15:38:08Z", GPS, Latitude, 42.33879540287968, 42.3387954028797
"2016-11-15T15:38:08Z", GPS, Longitude, -71.08821171631078, -71.0882117163108
"2016-11-15T15:38:08Z", GPS, Altitude, 10.38778305053711 Meters, 10.3877830505371
"2016-11-15T15:38:08Z", GPS, Floor, No Data, NULL
"2016-11-15T15:38:08Z", GPS, Horizontal Accuracy, 65 Meters, 65.0
"2016-11-15T15:38:08Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2016-11-15T15:38:08Z", Cell Radio, Radio Access Technology, Unknown, NULL
"2016-11-15T15:38:08Z", Cell Radio, Carrier, T-Mobile, T-Mobile
"2016-11-15T15:38:08Z", Proximity, Active, No, false
"2016-11-15T15:38:08Z", Battery, Level, 70%, 0.7
"2016-11-15T15:38:08Z", Battery, State, Discharging, Discharging
"2016-11-15T15:38:08Z", Device Orientation, Screen Orientation, Portrait, Portrait
"2016-11-15T15:38:08Z", Device Orientation, Screen Face Direction, Unknown, NULL
"2016-11-15T15:38:08Z", Bluetooth, Status, On, On
"2016-11-15T15:38:08Z", Gyrometer (raw), x, -0.1140482757859893, -0.114048275785989
"2016-11-15T15:38:08Z", Gyrometer (raw), y, -0.08142348716808263, -0.0814234871680826
"2016-11-15T15:38:08Z", Gyrometer (raw), z, 0.06645918500292738, 0.0664591850029274
"2016-11-15T15:38:08Z", Acceleration (via User), x, 0.01853862032294273, 0.0185386203229427
"2016-11-15T15:38:08Z", Acceleration (via User), y, 0.007278002798557281, 0.00727800279855728
"2016-11-15T15:38:08Z", Acceleration (via User), z, 0.02700651809573174, 0.0270065180957317
"2016-11-15T15:38:08Z", Gyrometer (smooth), x, -0.1168381869792938, -0.116838186979294
"2016-11-15T15:38:08Z", Gyrometer (smooth), y, -0.08313830941915512, -0.0831383094191551
"2016-11-15T15:38:08Z", Gyrometer (smooth), z, 0.06862830370664597, 0.068628303706646
"2016-11-15T15:38:08Z", Attitude, Roll, -0.04117535283715699, -0.041175352837157
"2016-11-15T15:38:08Z", Attitude, Yaw, -1.374740498132364, -1.37474049813236
"2016-11-15T15:38:08Z", Attitude, Pitch, 0.5997146116722969, 0.599714611672297
"2016-11-15T15:38:08Z", Attitude, Quarternion w, 0.7344138467344504, 0.73441384673445
"2016-11-15T15:38:08Z", Attitude, Quarternion x, 0.2157796753237499, 0.21577967532375
"2016-11-15T15:38:08Z", Attitude, Quarternion y, -0.2025848198566743, -0.202584819856674
"2016-11-15T15:38:08Z", Attitude, Quarternion z, -0.6107657686914768, -0.610765768691477
"2016-11-15T15:38:08Z", Acceleration (via Gravity), x, -0.03398051485419273, -0.0339805148541927
"2016-11-15T15:38:08Z", Acceleration (via Gravity), y, -0.5644069314002991, -0.564406931400299
"2016-11-15T15:38:08Z", Acceleration (via Gravity), z, -0.8247970342636108, -0.824797034263611
"2016-11-15T15:38:08Z", Acceleration (total), x, -0.01544189453125, -0.01544189453125
"2016-11-15T15:38:08Z", Acceleration (total), y, -0.5571289286017418, -0.557128928601742
"2016-11-15T15:38:08Z", Acceleration (total), z, -0.7977905161678791, -0.797790516167879
"2016-11-15T15:38:08Z", Magnetometer (corrected for device), x, -7.708901405334473, -7.70890140533447
"2016-11-15T15:38:08Z", Magnetometer (corrected for device), y, -26.68991279602051, -26.6899127960205
"2016-11-15T15:38:08Z", Magnetometer (corrected for device), z, -29.81893920898438, -29.8189392089844
"2016-11-15T15:38:08Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2016-11-15T15:38:08Z", Accelerometer (raw), x, -0.008941650390625, -0.008941650390625
"2016-11-15T15:38:08Z", Accelerometer (raw), y, -0.5542144775390625, -0.554214477539062
"2016-11-15T15:38:08Z", Accelerometer (raw), z, -0.788848876953125, -0.788848876953125
"2016-11-15T15:38:08Z", GPS, Enabled, Yes, true
"2016-11-15T15:38:08Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2016-11-15T15:38:08Z", GPS, Latitude, 42.33879540287968, 42.3387954028797
"2016-11-15T15:38:08Z", GPS, Longitude, -71.08821171631078, -71.0882117163108
"2016-11-15T15:38:08Z", GPS, Altitude, 10.38778305053711 Meters, 10.3877830505371
"2016-11-15T15:38:08Z", GPS, Floor, No Data, NULL
"2016-11-15T15:38:08Z", GPS, Horizontal Accuracy, 65 Meters, 65.0
"2016-11-15T15:38:08Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2016-11-15T15:38:08Z", Altimeter (Barometer), Relative Altitude, 0 Meters, 0
"2016-11-15T15:38:08Z", Altimeter (Barometer), Pressure, 101.050910949707 kPa, 101.050910949707
"2016-11-15T15:38:09Z", Altimeter (Barometer), Relative Altitude, -0.00554275512695312 Meters, -0.005542755126953125
"2016-11-15T15:38:09Z", Altimeter (Barometer), Pressure, 101.050979614258 kPa, 101.0509796142578
"2016-11-15T15:38:10Z", GPS, Enabled, Yes, true
"2016-11-15T15:38:10Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2016-11-15T15:38:10Z", GPS, Latitude, 42.33879387974294, 42.3387938797429
"2016-11-15T15:38:10Z", GPS, Longitude, -71.08821010668321, -71.0882101066832
"2016-11-15T15:38:10Z", GPS, Altitude, 10.41534519195557 Meters, 10.4153451919556
"2016-11-15T15:38:10Z", GPS, Floor, No Data, NULL
"2016-11-15T15:38:10Z", GPS, Horizontal Accuracy, 65 Meters, 65.0
"2016-11-15T15:38:10Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2016-11-15T15:38:10Z", Proximity, Active, Yes, true
"2016-11-15T15:38:10Z", Altimeter (Barometer), Relative Altitude, -0.0120925903320312 Meters, -0.01209259033203125
"2016-11-15T15:38:10Z", Altimeter (Barometer), Pressure, 101.051055908203 kPa, 101.0510559082031
"2016-11-15T15:38:11Z", Magnetometer (raw), x, -7.172134399414062, -7.17213439941406
"2016-11-15T15:38:11Z", Magnetometer (raw), y, -6.964126586914062, -6.96412658691406
"2016-11-15T15:38:11Z", Magnetometer (raw), z, -393.4409790039062, -393.440979003906
"2016-11-15T15:38:11Z", Altimeter (Barometer), Relative Altitude, -0.024688720703125 Meters, -0.024688720703125
"2016-11-15T15:38:11Z", Altimeter (Barometer), Pressure, 101.051208496094 kPa, 101.0512084960938
"2016-11-15T15:38:12Z", Altimeter (Barometer), Relative Altitude, -0.139059066772461 Meters, -0.1390590667724609
"2016-11-15T15:38:12Z", Altimeter (Barometer), Pressure, 101.052581787109 kPa, 101.0525817871094
"2016-11-15T15:38:13Z", Altimeter (Barometer), Relative Altitude, -0.263505935668945 Meters, -0.2635059356689453
"2016-11-15T15:38:13Z", Altimeter (Barometer), Pressure, 101.054069519043 kPa, 101.054069519043
"2016-11-15T15:38:14Z", Altimeter (Barometer), Relative Altitude, -0.263505935668945 Meters, -0.2635059356689453
"2016-11-15T15:38:14Z", Altimeter (Barometer), Pressure, 101.054069519043 kPa, 101.054069519043
"2016-11-15T15:38:15Z", GPS, Enabled, Yes, true
"2016-11-15T15:38:15Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2016-11-15T15:38:15Z", GPS, Latitude, 42.33884227120638, 42.3388422712064
"2016-11-15T15:38:15Z", GPS, Longitude, -71.08820745485758, -71.0882074548576
"2016-11-15T15:38:15Z", GPS, Altitude, 10.08872699737549 Meters, 10.0887269973755
"2016-11-15T15:38:15Z", GPS, Floor, No Data, NULL
"2016-11-15T15:38:15Z", GPS, Horizontal Accuracy, 65 Meters, 65.0
"2016-11-15T15:38:15Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2016-11-15T15:38:15Z", Altimeter (Barometer), Relative Altitude, -0.263505935668945 Meters, -0.2635059356689453
"2016-11-15T15:38:15Z", Altimeter (Barometer), Pressure, 101.054069519043 kPa, 101.054069519043
"2016-11-15T15:38:16Z", Altimeter (Barometer), Relative Altitude, -0.299278259277344 Meters, -0.2992782592773438
"2016-11-15T15:38:16Z", Altimeter (Barometer), Pressure, 101.054496765137 kPa, 101.0544967651367
"2016-11-15T15:38:17Z", Altimeter (Barometer), Relative Altitude, -0.299278259277344 Meters, -0.2992782592773438
"2016-11-15T15:38:17Z", Altimeter (Barometer), Pressure, 101.054496765137 kPa, 101.0544967651367
"2016-11-15T15:38:17Z", Acceleration (via User), x, -0.0008544602314941585, -0.000854460231494159
"2016-11-15T15:38:17Z", Acceleration (via User), y, 0.001165290595963597, 0.0011652905959636
"2016-11-15T15:38:17Z", Acceleration (via User), z, 0.00009466605115449056, 9.46660511544906e-05
"2016-11-15T15:38:17Z", Attitude, Roll, 0.02446269014389546, 0.0244626901438955
"2016-11-15T15:38:17Z", Attitude, Yaw, -1.53341011162254, -1.53341011162254
"2016-11-15T15:38:17Z", Attitude, Pitch, -0.006021635456018012, -0.00602163545601801
"2016-11-15T15:38:17Z", Attitude, Quarternion w, 0.7201178104888151, 0.720117810488815
"2016-11-15T15:38:17Z", Attitude, Quarternion x, 0.00631721421776753, 0.00631721421776753
"2016-11-15T15:38:17Z", Attitude, Quarternion y, 0.01089740474130252, 0.0108974047413025
"2016-11-15T15:38:17Z", Attitude, Quarternion z, -0.6937374707992966, -0.693737470799297
"2016-11-15T15:38:17Z", Gyrometer (smooth), x, 0.0004078534548170865, 0.000407853454817086
"2016-11-15T15:38:17Z", Gyrometer (smooth), y, 0.00136330584064126, 0.00136330584064126
"2016-11-15T15:38:17Z", Gyrometer (smooth), z, -0.00004701384750660509, -4.70138475066051e-05
"2016-11-15T15:38:17Z", Acceleration (via Gravity), x, 0.02445980720221996, 0.02445980720222
"2016-11-15T15:38:17Z", Acceleration (via Gravity), y, 0.006021599285304546, 0.00602159928530455
"2016-11-15T15:38:17Z", Acceleration (via Gravity), z, -0.9996826648712158, -0.999682664871216
"2016-11-15T15:38:17Z", Acceleration (total), x, 0.0236053469707258, 0.0236053469707258
"2016-11-15T15:38:17Z", Acceleration (total), y, 0.007186889881268144, 0.00718688988126814
"2016-11-15T15:38:17Z", Acceleration (total), z, -0.9995879988200613, -0.999587998820061
"2016-11-15T15:38:17Z", Magnetometer (corrected for device), x, -8.376091957092285, -8.37609195709229
"2016-11-15T15:38:17Z", Magnetometer (corrected for device), y, -9.89341926574707, -9.89341926574707
"2016-11-15T15:38:17Z", Magnetometer (corrected for device), z, -29.49188232421875, -29.4918823242188
"2016-11-15T15:38:17Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2016-11-15T15:38:18Z", Altimeter (Barometer), Relative Altitude, -0.222192764282227 Meters, -0.2221927642822266
"2016-11-15T15:38:18Z", Altimeter (Barometer), Pressure, 101.053581237793 kPa, 101.053581237793
"2016-11-15T15:38:18Z", Gyrometer (raw), x, 0.003267698657527225, 0.00326769865752723
"2016-11-15T15:38:18Z", Gyrometer (raw), y, 0.003180613289881634, 0.00318061328988163
"2016-11-15T15:38:18Z", Gyrometer (raw), z, -0.002047970878270934, -0.00204797087827093
"2016-11-15T15:38:18Z", Accelerometer (raw), x, 0.02386474609375, 0.02386474609375
"2016-11-15T15:38:18Z", Accelerometer (raw), y, 0.0059814453125, 0.0059814453125
"2016-11-15T15:38:18Z", Accelerometer (raw), z, -1.000717163085938, -1.00071716308594
"2016-11-15T15:38:18Z", WiFi, Connected SSID, NUwave, NUwave
"2016-11-15T15:38:18Z", WiFi, Connected BSSID, 18:64:72:2c:d9:f0, 18:64:72:2c:d9:f0
"2016-11-15T15:38:18Z", Microphone, Left Channel Level, -21.96499 dB, -21.965
"2016-11-15T15:38:18Z", Microphone, Right Channel Level, -21.96499 dB, -21.965
"2016-11-15T15:38:18Z", Screen, Screen Resolution (reported), 320 x 568 Points, ["height": 568.0, "width": 320.0]
"2016-11-15T15:38:18Z", Screen, Screen Resolution (native), 750 x 1334 Pixels, ["height": 1334.0, "width": 750.0]
"2016-11-15T15:38:18Z", Screen, Screen Scale (reported), 2, 2.0
"2016-11-15T15:38:18Z", Screen, Screen Scale (native), 2, 2.34375
"2016-11-15T15:38:18Z", Screen, Brightness, 55%, 0.551026523113251
"2016-11-15T15:38:18Z", Compass, Heading (True North), 104.3371200561523º, 104.337120056152
"2016-11-15T15:38:18Z", Compass, Heading (Magnetic North), 119.0353088378906º, 119.035308837891
"2016-11-15T15:38:18Z", Compass, x, -8.152291297912598, -8.1522912979126
"2016-11-15T15:38:18Z", Compass, y, -9.592256546020508, -9.59225654602051
"2016-11-15T15:38:18Z", Compass, z, -29.56393432617188, -29.5639343261719
"2016-11-15T15:38:18Z", Storage, Total, 121.94 GB, 121937772544
"2016-11-15T15:38:18Z", Storage, Free, 48.18 GB, 48176336896
"2016-11-15T15:38:18Z", Storage, Used, 73.76 GB, 73761435648
"2016-11-15T15:38:18Z", Memory, Total, 2.1 GB, 2097152000.0
"2016-11-15T15:38:18Z", Memory, Free, 39.1 MB, 39124992.0
"2016-11-15T15:38:18Z", Memory, Used, 1.76 GB, 1757757440.0
"2016-11-15T15:38:18Z", Memory, Active, 1.05 GB, 1045954560.0
"2016-11-15T15:38:18Z", Memory, Inactive, 515.9 MB, 515850240.0
"2016-11-15T15:38:18Z", Memory, Wired, 196 MB, 195952640.0
"2016-11-15T15:38:18Z", Memory, Purgeable, 28.1 MB, 28098560.0
"2016-11-15T15:38:19Z", Altimeter (Barometer), Relative Altitude, -0.0942192077636719 Meters, -0.09421920776367188
"2016-11-15T15:38:19Z", Altimeter (Barometer), Pressure, 101.052040100098 kPa, 101.0520401000977
"2016-11-15T15:38:20Z", Altimeter (Barometer), Relative Altitude, -0.0136051177978516 Meters, -0.01360511779785156
"2016-11-15T15:38:20Z", Altimeter (Barometer), Pressure, 101.051078796387 kPa, 101.0510787963867
